date,cmcrbind,cfnai,cpiaucsl,fedfunds
2015m12,401.500454545454,-.30000001,237.761,.23999999
2016m1,410.194736842105,.14,237.827,.34
2016m2,421.4365,-.25999999,237.51401,.38
2016m3,435.673636363636,-.34,237.99001,.36000001
2016m4,449.911428571429,-.19,238.83501,.37
2016m5,452.30619047619,-.31,239.44,.37
2016m6,451.982272727273,.12,240.144,.38
2016m7,457.363,.1,240.11099,.38999999
2016m8,456.823043478261,-.20999999,240.595,.40000001
2016m9,456.807142857143,-.0099999998,241.06799,.40000001
2016m10,460.65,.02,241.64101,.40000001
2016m11,483.582380952381,-.14,241.993,.41
2016m12,494.390952380952,.49000001,242.71201,.54000002
2017m1,502.6775,-.079999998,243.717,.64999998
2017m2,506.15,-.11,244.028,.66000003
2017m3,510.723913043478,.090000004,243.72099,.79000002
2017m4,505.937894736842,.31,244.058,.89999998
2017m5,504.465454545455,-.039999999,243.92599,.91000003
2017m6,502.440454545455,.18000001,244.179,1.04
2017m7,504.412,-.079999998,244.328,1.15
2017m8,511.814347826087,-.039999999,245.304,1.16
2017m9,513.633,.13,246.44501,1.15
2017m10,502.925,.66000003,246.57001,1.15
2017m11,499.100952380952,.31999999,247.33299,1.16
2017m12,506.8755,.2,247.847,1.3
2018m1,522.925714285714,-.23999999,248.81599,1.41
2018m2,524.517368421053,.44999999,249.47501,1.42
2018m3,525.4919047619049,.18000001,249.41299,1.51
2018m4,523.947619047619,.28,249.957,1.6900001
2018m5,519.144090909091,-.2,250.64,1.7
2018m6,522.0342857142861,.25,251.17599,1.8200001
2018m7,509.970476190476,.17,251.48199,1.91
2018m8,496.983043478261,.34999999,251.905,1.91
2018m9,483.551578947369,.050000001,252.261,1.95
2018m10,483.580434782609,0,252.77699,2.1900001
2018m11,484.654761904762,.17,252.662,2.2
2018m12,485.1395,-.07,252.653,2.27
